Quadro extraído em 01 de Dezembro de 2025 (16:14:08),,,,
http://www.ine.pt,,,,
,,,,
,,,,
Período de referência dos dados,Local de residência (Portugal),,"Remuneração bruta mensal média por trabalhador (€) por Componente remuneratória, Setor institucional e Escalão de pessoal ao serviço; Anual",
,,,Componente remuneratória,
,,,Total,
,,,Setor institucional,
,,,Total,
,,,Escalão de pessoal ao serviço,
,,,Total,
,,,€ ,
2024,Portugal,PT,1604,&
2023,Portugal,PT,1507,
2022,Portugal,PT,1412,
2021,Portugal,PT,1362,
2020,Portugal,PT,1315,
2019,Portugal,PT,1277,
2018,Portugal,PT,1241,
2017,Portugal,PT,1216,
2016,Portugal,PT,1196,
2015,Portugal,PT,1179,
2014,Portugal,PT,1173,
"Remuneração bruta mensal média por trabalhador (€) por Componente remuneratória, Setor institucional e Escalão de pessoal ao serviço; Anual - Declaração Mensal de Remunerações da Segurança Social e Relação Contributiva da Caixa Geral de Aposentações",,,,
,,,,
,,,,
Sinais convencionais:,,,,
&: Dado provisório,,,,
,,,,
Última atualização destes dados: 14 de novembro de 2025,,,,
